FINAL MODEL TRAINING METRICS
==================================================

Training Epochs: 150
Final Training Loss: 0.011039
Final Training Accuracy: 99.84%
Total Parameters: 3,162,963
Training Data Shape: (141030, 375, 6)

Epoch-by-Epoch Metrics:
Epoch	Train_Loss	Train_Acc
1	0.828091	65.71
2	0.581414	76.55
3	0.480456	80.98
4	0.418987	83.85
5	0.370904	86.09
6	0.330318	88.03
7	0.295196	89.61
8	0.265421	90.87
9	0.242208	91.88
10	0.227226	92.50
11	0.207273	93.36
12	0.195743	93.76
13	0.185628	94.24
14	0.176558	94.60
15	0.166509	95.00
16	0.161892	95.16
17	0.154994	95.45
18	0.148878	95.76
19	0.147611	95.73
20	0.141665	95.99
21	0.139499	96.00
22	0.136004	96.15
23	0.133073	96.32
24	0.131266	96.41
25	0.127271	96.53
26	0.125254	96.64
27	0.124945	96.71
28	0.124348	96.69
29	0.122949	96.76
30	0.121526	96.78
31	0.122299	96.76
32	0.116886	96.99
33	0.117769	96.92
34	0.116894	96.98
35	0.118540	96.96
36	0.117042	97.03
37	0.114895	97.06
38	0.115110	97.10
39	0.114058	97.11
40	0.112781	97.21
41	0.113121	97.14
42	0.111767	97.25
43	0.109376	97.27
44	0.109488	97.30
45	0.110046	97.27
46	0.110416	97.25
47	0.108809	97.31
48	0.107930	97.38
49	0.108325	97.39
50	0.107472	97.41
51	0.108784	97.36
52	0.106690	97.42
53	0.105645	97.52
54	0.106410	97.34
55	0.105521	97.51
56	0.104524	97.51
57	0.104999	97.48
58	0.104154	97.54
59	0.104109	97.53
60	0.103556	97.52
61	0.101975	97.58
62	0.103256	97.56
63	0.101717	97.63
64	0.100796	97.63
65	0.101496	97.66
66	0.101102	97.63
67	0.100058	97.66
68	0.100698	97.64
69	0.099807	97.72
70	0.100252	97.68
71	0.100467	97.69
72	0.098747	97.77
73	0.098353	97.73
74	0.099078	97.71
75	0.098841	97.73
76	0.098996	97.76
77	0.097295	97.76
78	0.095664	97.82
79	0.095489	97.81
80	0.097115	97.76
81	0.096889	97.78
82	0.096860	97.77
83	0.097027	97.76
84	0.097897	97.76
85	0.095701	97.80
86	0.095412	97.79
87	0.093891	97.90
88	0.093294	97.93
89	0.095364	97.83
90	0.095420	97.82
91	0.092680	97.94
92	0.094006	97.91
93	0.094199	97.87
94	0.095610	97.84
95	0.093469	97.86
96	0.093508	97.87
97	0.092704	97.92
98	0.093561	97.91
99	0.091453	97.93
100	0.092786	97.95
101	0.093051	97.91
102	0.092149	97.92
103	0.090224	97.98
104	0.090810	97.98
105	0.092854	97.94
106	0.090837	97.98
107	0.090511	97.98
108	0.089913	98.00
109	0.090963	98.03
110	0.091330	97.95
111	0.090617	97.98
112	0.091287	97.96
113	0.089006	98.06
114	0.088613	98.04
115	0.089380	98.01
116	0.086228	98.15
117	0.089873	98.05
118	0.088406	98.08
119	0.087442	98.08
120	0.089224	98.01
121	0.087017	98.10
122	0.088713	98.08
123	0.088732	98.07
124	0.087062	98.16
125	0.088011	98.10
126	0.087513	98.06
127	0.086867	98.12
128	0.040288	99.43
129	0.022655	99.67
130	0.017475	99.72
131	0.014786	99.77
132	0.013365	99.79
133	0.012136	99.81
134	0.011389	99.82
135	0.011546	99.81
136	0.011308	99.84
137	0.011267	99.82
138	0.010866	99.83
139	0.011348	99.82
140	0.009978	99.86
141	0.011140	99.80
142	0.010750	99.83
143	0.010556	99.84
144	0.010711	99.83
145	0.010704	99.84
146	0.010743	99.83
147	0.010155	99.85
148	0.010776	99.85
149	0.011277	99.82
150	0.011039	99.84
